iso_origin;iso_dest;dist_eco;dist_capitale;dist_ponderee_pop
ABW;MAC;16137.89;16137.89;.
ABW;MAR;6782.739;6782.739;6777.431
ABW;MDA;9662.548;9662.548;9653.517
ABW;MDG;13342.62;13342.62;13328.07
ABW;MDV;15595.96;15595.96;15591.33
ABW;MEX;3197.777;3197.777;3516.021
ABW;MHL;12908.49;12908.49;13034.27
ABW;MKD;9214.088;9214.088;9217.8
ABW;MLI;6729.114;6729.114;6799.604
ABW;MLT;8723.98;8723.98;8711.66
ABW;MMR;16436.57;16436.57;16303.36
ABW;MNG;13299.1;13299.1;13300.46
ABW;MNP;15020.25;15020.25;15045.63
ABW;MOZ;11878.69;11878.69;12049.38
ABW;MRT;5824.114;5824.114;5932.266
ABW;MSR;966.2597;966.2597;.
ABW;MTQ;1001.726;1001.726;998.6534
ABW;MUS;14395.81;14395.81;14382.7
ABW;MWI;11828.46;11828.46;11885.31
ABW;MYS;18066.89;18066.89;18042.02
ABW;NAM;10267.96;10267.96;10238.2
ABW;NCL;13964.53;13964.53;13994.37
ABW;NER;7796.389;7796.389;8090.482
ABW;NFK;13783.12;13783.12;13783.78
ABW;NGA;8081.917;8425.322;8276.091
ABW;NIC;1761.929;1761.929;1764.175
ABW;NIU;11484.71;11484.71;11492.94
ABW;NLD;7896.896;7896.896;7908.407
ABW;NOR;8301.125;8301.125;8240.808
ABW;NPL;14828.1;14828.1;14806.05
ABW;NRU;13604.61;13604.61;13620.23
ABW;NZL;12981.52;12981.52;13079.87
ABW;OMN;13155.52;13155.52;13071.64
ABW;PAK;13581.61;13581.61;13748.66
ABW;PAL;10625.24;10625.24;10642.14
ABW;PAN;1102.975;1102.975;1182.386
ABW;PCN;7735.013;7735.013;.
ABW;PER;2848.861;2848.861;2758.858
ABW;PHL;16773.43;16773.43;16868.52
ABW;PLW;16527.85;16527.85;16541.41
ABW;PNG;15957.22;15957.22;15932.05
ABW;POL;8990.023;8990.023;8884.097
ABW;PRI;781.5696;781.5696;764.2043
ABW;PRK;14063.87;14063.87;13996.79
ABW;PRT;6637.424;6637.424;6626.685
ABW;PRY;4418.076;4418.076;4436.56
ABW;PYF;9348.107;9348.107;9363.776
ABW;QAT;12436.23;12436.23;12418.49
ABW;REU;14183.83;14183.83;14168.52
ABW;ROM;9528.119;9528.119;9448.061
ABW;RUS;9942.475;9942.475;10523.27
ABW;RWA;11168.01;11168.01;11138.65
ABW;SAU;12028.87;12028.87;11731.11
ABW;SDN;10960.46;10960.46;10934.82
ABW;SEN;5688.13;5688.13;5733.223
ABW;SGP;18355.38;18355.38;18355.23
ABW;SHN;7763.898;7763.898;7507.777
ABW;SLB;14562.64;14562.64;14593.49
ABW;SLE;6222.756;6222.756;6281.981
ABW;SLV;2070.009;2070.009;2081.715
ABW;SMR;8461.912;8461.912;8454.992
ABW;SOM;12721.27;12721.27;12607.73
ABW;SPM;4015.755;4015.755;4035.539
ABW;STP;8580.347;8580.347;8558.069
ABW;SUR;1793.713;1793.713;1873.901
ABW;SVK;8778.741;8778.741;8902.049
ABW;SVN;8601.009;8601.009;8617.865
ABW;SWE;8715.387;8715.387;8587.528
ABW;SWZ;11739.21;11739.21;11750.85
ABW;SYC;13989.59;13989.59;13976.95
ABW;SYR;10720.53;10720.53;10724.01
ABW;TCA;998.4774;998.4774;1011.227
ABW;TCD;9201.158;9201.158;9341.913
ABW;TGO;7858.3;7858.3;7805.2
ABW;THA;16930.21;16930.21;16932.43
ABW;TJK;12917.73;12917.73;12918.99
ABW;TKL;11515.18;11515.18;11479.48
ABW;TKM;12265.52;12265.52;12265.08
ABW;TMP;18262.52;18262.52;18275.07
ABW;TON;12067.62;12067.62;12052.03
ABW;TTO;959.7569;959.7569;960.6143
ABW;TUN;8328.585;8328.585;8334.208
ABW;TUR;9845.79;10197.24;10126.42
ABW;TUV;12456.92;12456.92;12533.82
ABW;TWN;15659.13;15659.13;15771.77
ABW;TZA;12282.36;11881.49;11986.52
ABW;UGA;11386.03;11386.03;11347.06
ABW;UKR;9678.449;9678.449;9909.713
ABW;URY;5483.935;5483.935;5392.856
ABW;USA;3161.668;3007.269;3859.885
ABW;UZB;12732.29;12732.29;12713.79
ABW;VCT;964.7043;964.7043;953.587
ABW;VEN;408.8065;408.8065;437.7824
ABW;VGB;881.2882;881.2882;879.4905
ABW;VNM;16271.96;16271.96;17039.93
ABW;VUT;13756.36;13756.36;13796.53
ABW;WLF;12049.83;12049.83;12055.93
ABW;WSM;13348.89;13348.89;11605.08
ABW;YEM;12161.9;12161.9;12205.73
ABW;YUG;9082.858;9082.858;9097.525
ABW;ZAF;10662.36;11441.71;11325.09
ABW;ZAR;9622.77;9622.77;10139.77
ABW;ZMB;11267.38;11267.38;11237
ABW;ZWE;11603.47;11603.47;11528.01
AFG;ABW;13257.81;13257.81;13168.22
AFG;AFG;303.7614;303.7614;269.5433
AFG;AGO;7607.8;7607.8;7573.253
AFG;AIA;12292.16;12292.16;12205.45
AFG;ALB;4342.117;4342.117;4250.738
AFG;AND;5806.359;5806.359;5712.403
AFG;ANT;13218.26;13218.26;13004.56
AFG;ARE;1813.615;1813.615;1657.193
AFG;ARG;15298.5;15298.5;15341.16
AFG;ARM;2266.15;2266.15;2171.302
AFG;ATG;12297.09;12297.09;12214.32
AFG;AUS;11433.49;11365.44;11086.14
AFG;AUT;4568.098;4568.098;4567.302
AFG;AZE;1822.217;1822.217;1821.719
AFG;BDI;5930.057;5930.057;5849.067
AFG;BEL;5416.121;5416.121;5331.892
AFG;BEN;7481.006;7450.474;7330.657
AFG;BFA;7497.595;7497.595;7464.21
AFG;BGD;2376.978;2376.978;2488.676
AFG;BGR;4043.005;4043.005;3819.043
AFG;BHR;2004.434;2004.434;1940.47
AFG;BHS;12518.58;12518.58;12427.12
AFG;BIH;4428.614;4428.614;4374.743
AFG;BLR;3880.9;3880.9;3766.027
AFG;BLZ;13822.82;13822.82;13714.66
AFG;BMU;11177.66;11177.66;11089.69
AFG;BOL;15349.95;15240.55;15100.65
AFG;BRA;13771.76;13470.08;13223.75
AFG;BRB;12465.55;12465.55;12371.21
AFG;BRN;5741.141;5741.141;5823.199
AFG;BTN;2103.501;2103.501;2231.291
AFG;BWA;8023.767;8023.767;7847.092
AFG;CAF;6188.315;6188.315;6083.534
AFG;CAN;10768.89;10461.27;10516.29
AFG;CCK;5992.465;5992.465;.
AFG;CHE;5247.043;5247.043;5136.085
AFG;CHL;16353.9;16353.9;16262.29
AFG;CHN;4180.438;4180.438;4434.382
AFG;CIV;8144.624;8165.951;8067.372
AFG;CMR;6842.123;6842.123;6632.051
AFG;COG;7100.583;7100.583;7110.932
AFG;COK;15044.61;15044.61;15114.23
AFG;COL;14288.69;14288.69;14072.28
AFG;COM;5824.411;5824.411;5802.082
AFG;CPV;9324.58;9324.58;9225.148
AFG;CRI;14334.57;14334.57;14260.46
AFG;CUB;12952.4;12952.4;12859.24
AFG;CXR;6312.074;6312.074;.
AFG;CYM;13283.3;13283.3;13208.93
AFG;CYP;3257.972;3257.972;3172.299
AFG;CZE;4708.024;4708.024;4543.171
AFG;DEU;5226.514;4783.57;4945.52
AFG;DJI;3668.116;3668.116;3621.295
AFG;DMA;12416.77;12416.77;12318.91
AFG;DNK;4857.692;4857.692;4854.474
AFG;DOM;12709.28;12709.28;12623.33
AFG;DZA;5866.736;5866.736;5776.018
AFG;ECU;14950.6;14950.6;15033.63
AFG;EGY;3584.319;3584.319;3509.174
AFG;ERI;3706.288;3706.288;3625.781
AFG;ESH;7696.608;7696.608;7659.554
AFG;ESP;6290.493;6290.493;6147.663
AFG;EST;4238.918;4238.918;4112.194
AFG;ETH;4196.206;4196.206;4114.436
AFG;FIN;4254.794;4254.794;4243.341
AFG;FJI;12880.35;12880.35;12941.15
AFG;FLK;15447.96;15447.96;15386.37
AFG;FRA;5590.381;5590.381;5500.665
AFG;FRO;5959.883;5959.883;5888.947
AFG;FSM;9494.704;9494.704;9075.824
AFG;GAB;7263.688;7263.688;7167.723
AFG;GBR;5718.078;5718.078;5694.557
AFG;GEO;2270.991;2270.991;2272.456
AFG;GHA;7786.48;7786.48;7685.409
AFG;GIB;6593.598;6593.598;6499.797
AFG;GIN;8955.442;8955.442;8573.144
AFG;GLP;12384.11;12384.11;12261.62
AFG;GMB;8798.221;8798.221;8679.354
AFG;GNB;8805.014;8805.014;8695.24
AFG;GNQ;7088.998;7088.998;7024.81
AFG;GRC;4058.47;4058.47;3981.455
AFG;GRD;12707.12;12707.12;12605.84
AFG;GRL;7901.775;7901.775;7655.879
AFG;GTM;14157.62;14157.62;14094.45
AFG;GUF;12506.79;12506.79;12447.9
AFG;GUY;12850.2;12850.2;12765.91
AFG;HKG;4566.617;4566.617;4656.974
AFG;HND;14078.02;14078.02;13928.31
AFG;HRV;4608.2;4608.2;4501.398
AFG;HTI;12861.0;12861.0;12769.69
AFG;HUN;4367.694;4367.694;4265.953
AFG;IDN;6000.786;6000.786;6105.471
AFG;IND;1003.893;1003.893;1741.23
AFG;IRL;6085.926;6085.926;6052.054
AFG;IRN;1620.826;1620.826;1553.816
AFG;IRQ;2285.353;2285.353;2173.033
AFG;ISL;6658.555;6658.555;6564.804
AFG;ISR;3199.193;3199.193;3097.465
AFG;ITA;4935.994;4935.994;4878.286
AFG;JAM;13173.26;13173.26;13097.57
AFG;JOR;3096.229;3096.229;3009.075
AFG;JPN;6278.016;6278.016;6169.582
AFG;KAZ;1180.169;1862.502;1647.539
AFG;KEN;5221.581;5221.581;5167.671
AFG;KGZ;1043.715;1043.715;996.819
AFG;KHM;4421.175;4421.175;4470.222
AFG;KIR;11202.85;11202.85;11393.98
AFG;KNA;12346.53;12346.53;11910
AFG;KOR;5131.888;5131.888;5275.912
AFG;KWT;2079.553;2079.553;2001.407
AFG;LAO;3784.918;3784.918;3977.166
AFG;LBN;3088.869;3088.869;2992.419
AFG;LBR;8699.117;8699.117;8569.939
AFG;LBY;5133.119;5133.119;4813.555
AFG;LCA;12492.83;12492.83;12404.06
AFG;LKA;3261.061;3261.061;3277.398
AFG;LSO;8347.427;8347.427;8310.68
AFG;LTU;4042.829;4042.829;4068.193
AFG;LUX;5304.336;5304.336;5224.884
AFG;LVA;4186.274;4186.274;4098.595
AFG;MAC;4512.573;4512.573;.
AFG;MAR;6811.536;6811.536;6734.633
AFG;MDA;3626.967;3626.967;3544.931
AFG;MDG;6370.142;6370.142;6386.711
AFG;MDV;3406.564;3406.564;3505.541
AFG;MEX;13906.07;13906.07;13588.67
AFG;MHL;10652.17;10652.17;10594.76
AFG;MKD;4198.337;4198.337;4105.128
AFG;MLI;8056.615;8056.615;7857.143
AFG;MLT;4906.982;4906.982;4819.005
AFG;MMR;3330.212;3330.212;3339.196
AFG;MNG;3443.545;3443.545;3424.311
AFG;MNP;7848.57;7848.57;7937.97
AFG;MOZ;7760.658;7760.658;7120.937
